company,email,evidence,contact_name,website,role,notes,country,price_eur
E&E Dental Johor Bahru,info@eedentalclinic.com.my,Multi-branch JB dental publishes info@eedentalclinic.com.my and branch phones — general contact form without a flagship treatment-package conversion landing.,,https://www.eedentalclinic.com.my/,owner,EUR10k digital ops; world hunt wave 2,malaysia,10000
Sentosa Dental Group Kulim,info@sentosadental.com.my,Kedah clinic lists WhatsApp + info@sentosadental.com.my — public path is contact/locations rather than a single campaign landing for a named package.,,https://sentosadental.com.my/,owner,EUR10k digital ops; world hunt wave 2,malaysia,10000
Smilepoint Dental Centre Singapore,info@smilepoint.com.sg,Holland Village + Mapletree branches split phone/WhatsApp/email (info@ and mbc@) — no single specialty-package landing for after-hours enquiries.,,https://smilepoint.com.sg/,owner,EUR10k digital ops; world hunt wave 2,singapore,10000
Dental Plus Telok Blangah,info@dentalplus.com.sg,Sunday-open Telok Blangah clinic routes to phone/WhatsApp + info@dentalplus.com.sg — booking path is contact-heavy without a dedicated new-patient package page.,,https://dentalplus.com.sg/,owner,EUR10k digital ops; world hunt wave 2,singapore,10000
Met Boutique Hotel Zagreb,info@methotel.hr,Art/design hotel on Praška publishes info@methotel.hr and phone — direct-book CTA competes with OTAs without a focused campaign landing + enquiry automation.,,https://methotel.hr/,owner,EUR10k digital ops; world hunt wave 2,croatia,10000
Adoral Boutique Hotel Rabac,adoral@adoral.hr,Rabac boutique hotel lists adoral@adoral.hr publicly — seaside direct booking still shares generic contact rather than a seasonal offer landing.,,https://www.adoral-hotel.com/,owner,EUR10k digital ops; world hunt wave 2,croatia,10000
Hotel Pupin Novi Sad,info@hotelpupin.rs,Novi Sad boutique hotel publishes info@ and sales@hotelpupin.rs — centre-city property without a dedicated direct-book campaign landing visible on contact path.,,https://www.hotelpupin.rs/,owner,EUR10k digital ops; world hunt wave 2,serbia,10000
The Rizzo Boutique Hotel Poiana Brasov,info@rizzohotel.ro,Poiana Brașov hotel lists info@rizzohotel.ro on contact — mountain/ski booking path is form+email without automated enquiry follow-up landing.,,https://www.rizzohotel.ro/,owner,EUR10k digital ops; world hunt wave 2,romania,10000
Clínica GlowMed Santiago,info@glowmed.cl,La Florida medical-dental centre publishes info@glowmed.cl and limited weekday/Saturday hours — general site without a flagship treatment-package conversion page.,,https://glowmed.cl/,owner,EUR10k digital ops; world hunt wave 2,chile,10000
Bianova Dental Tourism Colombia,info@bianova.co,International dental-tourism coordinator lists info@bianova.co — planning call CTA is strong but lacks a single package landing that captures after-hours leads into one funnel.,,https://www.bianova.co/,owner,EUR10k digital ops; world hunt wave 2,colombia,10000
MDE Care Medellín,info@mdecare.co,Medellín medical tourism concierge publishes info@mdecare.co — specialty routing is page-heavy without one conversion landing for a named care package.,,https://mdecare.co/,owner,EUR10k digital ops; world hunt wave 2,colombia,10000
Astra Dent Warsaw,info@astradent.pl,Warsaw implantology centre lists info@astradent.pl and multilingual coordinators — All-on-4/tourism path still relies on phone/email rather than a dedicated package landing.,,https://astradent.pl/,owner,EUR10k digital ops; world hunt wave 2,poland,10000
Torel Palace Lisbon,info@torelpalacelisbon.com,Lisbon palace hotel publishes info@ / reservas@ — direct-book vs OTA competition without a focused seasonal campaign landing + enquiry automation.,,https://www.torelpalacelisbon.com/,owner,EUR10k digital ops; world hunt wave 2,portugal,10000
Lisbon Dental Spa,info@lisbondentalspa.pt,Central Lisbon aesthetics clinic lists info@lisbondentalspa.pt — international/aesthetic demand without a single new-patient package conversion page on the public path.,,https://www.lisbondentalspa.pt/,owner,EUR10k digital ops; world hunt wave 2,portugal,10000
Rodin Dental Office Tokyo,info@rodin-dental.jp,English-speaking Tokyo clinic for dental tourism lists info@rodin-dental.jp — partnership/tourism pages exist but no single treatment-package landing with automated enquiry follow-up.,,https://rodin-dental.jp/,owner,EUR10k digital ops; world hunt wave 2,japan,10000
The Barn Tokyo,info@thebarntokyo.com,Family-run boutique hotel publishes info@thebarntokyo.com — downtown direct booking shares a minimal contact path without a campaign landing + enquiry automation.,,https://thebarntokyo.com/,owner,EUR10k digital ops; world hunt wave 2,japan,10000
Bangkok International Dental Center,contact@bangkokdentalcenter.com,JCI dental hospital with in-building boutique hotel lists contact@bangkokdentalcenter.com — travel booking still email/phone heavy without one package conversion landing.,,https://www.bangkokdentalcenter.com/,owner,EUR10k digital ops; world hunt wave 2,thailand,10000
